month,success,failed
Jan,7122,17141
Feb,8358,16127
Mar,12137,20437
Apr,12344,20222
May,12604,21155
Jun,11711,20339
Jul,12103,21600
Aug,11959,24330
Sep,10551,21209
Oct,11467,20565
Nov,11801,20189
Dec,11799,21391
