category,success,failed,backers,pledged,goal,maincategory,nprojects
Robots,226,346,95266,32612,187211,Technology,572
Rock,3500,3258,333312,3383,8756,Music,6758
Romance,55,135,7316,3520,58345,Film & Video,190
Science Fiction,272,472,67693,8170,405122,Film & Video,744
Sculpture,698,1112,79753,4738,14663,Art,1810
Shorts,6673,5684,453889,3362,20240,Film & Video,12357
Small Batch,557,1251,92287,3936,13528,Food,1808
Software,371,2677,209973,3863,93569,Technology,3048
Sound,274,395,239754,61878,46710,Technology,669
Space Exploration,120,203,99568,30611,576173,Technology,323
Spaces,295,546,59354,7525,99739,Food,841
Stationery,77,142,10225,1715,3782,Crafts,219
Tabletop Games,7866,6314,6049205,32703,14695,Games,14180
Taxidermy,5,8,519,2936,24722,Crafts,13
Technology,1317,5613,1155297,20510,160720,Technology,6930
Television,156,859,75998,8810,442698,Film & Video,1015
Textiles,77,199,7247,2057,33473,Art,276
Theater,4405,2652,342664,3971,12779,Theater,7057
Thrillers,200,546,26698,4283,253826,Film & Video,746
Translations,35,118,5354,2393,253964,Publishing,153
Typography,63,45,30957,21263,15057,Design,108
Vegan,185,403,50252,5755,31379,Food,588
Video,51,377,8476,1622,542843,Journalism,428
Video Art,51,143,4439,2790,25868,Art,194
Video Games,2386,9444,4419505,18279,76740,Games,11830
Wearables,388,845,480791,56284,60564,Technology,1233
Weaving,27,66,3671,5018,19611,Crafts,93
Web,443,4710,222481,2765,85244,Technology,5153
Webcomics,358,290,162720,12651,11636,Comics,648
Webseries,1698,4064,312168,4061,23140,Film & Video,5762
Woodworking,292,875,22612,1599,11597,Crafts,1167
Workshops,50,114,3422,1663,9755,Dance,164
World Music,922,1180,113403,4199,30895,Music,2102
Young Adult,172,649,15927,1256,39869,Publishing,821
Zines,179,212,21725,2595,10451,Publishing,391
